Cliente,Fecha,Importe,Estado,Nombre,Sexo,Zona
9452,2020-01-01 00:01:00,51356,Completado,Romina_113,F,Capital Federal
9452,2020-01-23 00:01:00,79480,Completado,Romina_113,F,Capital Federal
9452,2020-01-01 00:02:00,3701,Completado,Romina_113,F,Capital Federal
9452,2020-01-24 00:03:00,9367,Completado,Romina_113,F,Capital Federal
9452,2020-01-12 00:07:00,34220,Completado,Romina_113,F,Capital Federal
9452,2020-01-13 00:09:00,43001,Completado,Romina_113,F,Capital Federal
9452,2020-01-22 00:10:00,73672,Completado,Romina_113,F,Capital Federal
9452,2020-01-16 00:11:00,45615,Completado,Romina_113,F,Capital Federal
9452,2020-01-20 00:11:00,73562,Completado,Romina_113,F,Capital Federal
9567,2020-01-01 00:01:00,96994,Completado,Pedro_142,M,Capital Federal
9567,2020-01-15 00:06:00,23330,Completado,Pedro_142,M,Capital Federal
9567,2020-01-19 00:06:00,84312,Completado,Pedro_142,M,Capital Federal
9567,2020-01-17 00:11:00,6464,Completado,Pedro_142,M,Capital Federal
9567,2020-01-25 00:11:00,81312,Completado,Pedro_142,M,Capital Federal
9567,2020-01-07 00:12:00,25752,En Viaje,Pedro_142,M,Capital Federal
10551,2020-01-01 00:01:00,33280,Completado,Pedro_388,M,Capital Federal
10551,2020-01-24 00:05:00,39076,Completado,Pedro_388,M,Capital Federal
10551,2020-01-01 00:06:00,57171,Completado,Pedro_388,M,Capital Federal
10551,2020-01-30 00:06:00,25381,Completado,Pedro_388,M,Capital Federal
10551,2020-01-02 00:07:00,52081,Completado,Pedro_388,M,Capital Federal
9320,2020-01-01 00:01:00,18045,Completado,Romina_80,F,Capital Federal
9320,2020-01-22 00:01:00,16024,Completado,Romina_80,F,Capital Federal
9320,2020-01-04 00:11:00,11670,Completado,Romina_80,F,Capital Federal
9043,2020-01-01 00:01:00,2286,Completado,Pedro_11,M,Capital Federal
9043,2020-01-01 00:01:00,60746,Completado,Pedro_11,M,Capital Federal
9043,2020-01-30 00:01:00,21769,Completado,Pedro_11,M,Capital Federal
9043,2020-01-20 00:04:00,31351,Completado,Pedro_11,M,Capital Federal
9043,2020-01-03 00:10:00,22810,Completado,Pedro_11,M,Capital Federal
9187,2020-01-01 00:01:00,4270,Completado,Pedro_47,M,Capital Federal
9187,2020-01-15 00:01:00,4587,Completado,Pedro_47,M,Capital Federal
9187,2020-01-11 00:02:00,61093,Completado,Pedro_47,M,Capital Federal
9187,2020-01-12 00:04:00,16198,Completado,Pedro_47,M,Capital Federal
9187,2020-01-01 00:06:00,43512,Completado,Pedro_47,M,Capital Federal
9187,2020-01-27 00:06:00,53191,Completado,Pedro_47,M,Capital Federal
9187,2020-01-15 00:11:00,68770,Completado,Pedro_47,M,Capital Federal
9187,2020-01-04 00:12:00,68286,Completado,Pedro_47,M,Capital Federal
10383,2020-01-01 00:01:00,59721,Completado,Pedro_346,M,Buenos Aires
10383,2020-01-13 00:04:00,67605,Completado,Pedro_346,M,Buenos Aires
10383,2020-01-08 00:05:00,12915,Completado,Pedro_346,M,Buenos Aires
10383,2020-01-17 00:11:00,54460,Completado,Pedro_346,M,Buenos Aires
10091,2020-01-01 00:01:00,54594,Completado,Pedro_273,M,Cordoba
10091,2020-01-15 00:05:00,21045,Completado,Pedro_273,M,Cordoba
10091,2020-01-16 00:05:00,34561,Completado,Pedro_273,M,Cordoba
10091,2020-01-08 00:08:00,92114,Completado,Pedro_273,M,Cordoba
10493,2020-01-01 00:01:00,53060,Completado,Ana_374,F,Capital Federal
10493,2020-01-04 00:01:00,75379,Completado,Ana_374,F,Capital Federal
10493,2020-01-11 00:08:00,8700,Completado,Ana_374,F,Capital Federal
10493,2020-01-20 00:08:00,30970,Completado,Ana_374,F,Capital Federal
10493,2020-01-09 00:09:00,80153,Completado,Ana_374,F,Capital Federal
10493,2020-01-27 00:09:00,54156,Completado,Ana_374,F,Capital Federal
10493,2020-01-01 00:10:00,64279,Completado,Ana_374,F,Capital Federal
10367,2020-01-01 00:01:00,3382,Completado,Pedro_342,M,Capital Federal
10367,2020-01-13 00:05:00,80755,Completado,Pedro_342,M,Capital Federal
10367,2020-01-04 00:07:00,82815,Completado,Pedro_342,M,Capital Federal
10367,2020-01-23 00:11:00,83104,Completado,Pedro_342,M,Capital Federal
10317,2020-01-01 00:01:00,82727,Completado,Ana_330,F,Capital Federal
10317,2020-01-03 00:07:00,87887,Completado,Ana_330,F,Capital Federal
10317,2020-01-06 00:07:00,50967,Completado,Ana_330,F,Capital Federal
10317,2020-01-03 00:11:00,15108,Completado,Ana_330,F,Capital Federal
10495,2020-01-01 00:01:00,18796,Completado,Pedro_374,M,Capital Federal
10495,2020-01-25 00:10:00,73885,Completado,Pedro_374,M,Capital Federal
9456,2020-01-01 00:01:00,26838,Completado,Romina_114,F,Capital Federal
9456,2020-01-12 00:01:00,20126,Completado,Romina_114,F,Capital Federal
9456,2020-01-12 00:06:00,27529,Completado,Romina_114,F,Capital Federal
9456,2020-01-01 00:08:00,23050,Completado,Romina_114,F,Capital Federal
9456,2020-01-02 00:10:00,10663,Completado,Romina_114,F,Capital Federal
9456,2020-01-07 00:12:00,54804,En Viaje,Romina_114,F,Capital Federal
10506,2020-01-01 00:01:00,39615,Completado,Juan_377,M,Capital Federal
10506,2020-01-24 00:10:00,57907,Completado,Juan_377,M,Capital Federal
9572,2020-01-01 00:01:00,81136,Completado,Romina_143,F,Buenos Aires
9572,2020-01-10 00:01:00,50319,Completado,Romina_143,F,Buenos Aires
9572,2020-01-26 00:05:00,70778,Completado,Romina_143,F,Buenos Aires
9787,2020-01-01 00:01:00,73002,Completado,Pedro_197,M,Cordoba
9787,2020-01-05 00:01:00,24304,Completado,Pedro_197,M,Cordoba
9787,2020-01-19 00:01:00,24593,Completado,Pedro_197,M,Cordoba
9787,2020-01-02 00:03:00,52230,Completado,Pedro_197,M,Cordoba
9787,2020-01-03 00:03:00,27906,Completado,Pedro_197,M,Cordoba
9787,2020-01-19 00:03:00,47653,Completado,Pedro_197,M,Cordoba
9787,2020-01-07 00:09:00,67081,Completado,Pedro_197,M,Cordoba
9726,2020-01-01 00:01:00,73803,Completado,Juan_182,M,Capital Federal
9726,2020-01-15 00:02:00,79721,Completado,Juan_182,M,Capital Federal
9726,2020-01-05 00:10:00,1763,Completado,Juan_182,M,Capital Federal
9940,2020-01-01 00:01:00,35236,Completado,Romina_235,F,Capital Federal
9940,2020-01-03 00:03:00,51244,Completado,Romina_235,F,Capital Federal
9940,2020-01-09 00:03:00,27161,Completado,Romina_235,F,Capital Federal
9940,2020-01-30 00:03:00,3421,Completado,Romina_235,F,Capital Federal
9940,2020-01-26 00:06:00,86558,Completado,Romina_235,F,Capital Federal
9940,2020-01-13 00:08:00,69646,Completado,Romina_235,F,Capital Federal
9940,2020-01-20 00:09:00,23269,Completado,Romina_235,F,Capital Federal
9940,2020-01-03 00:10:00,7319,Completado,Romina_235,F,Capital Federal
9940,2020-01-02 00:11:00,75032,Completado,Romina_235,F,Capital Federal
9533,2020-01-01 00:01:00,50970,Completado,Ana_134,F,Capital Federal
9533,2020-01-29 00:09:00,20722,Completado,Ana_134,F,Capital Federal
9533,2020-01-09 00:11:00,61872,Completado,Ana_134,F,Capital Federal
10520,2020-01-02 00:01:00,92010,Completado,Romina_380,F,Capital Federal
10520,2020-01-13 00:02:00,69604,Completado,Romina_380,F,Capital Federal
10520,2020-01-22 00:03:00,89357,Completado,Romina_380,F,Capital Federal
10520,2020-01-31 00:03:00,63634,Completado,Romina_380,F,Capital Federal
10520,2020-01-18 00:05:00,49677,Completado,Romina_380,F,Capital Federal
10520,2020-01-30 00:06:00,22000,Completado,Romina_380,F,Capital Federal
10520,2020-01-16 00:07:00,11634,Completado,Romina_380,F,Capital Federal
10520,2020-01-08 00:11:00,80530,Completado,Romina_380,F,Capital Federal
9350,2020-01-02 00:01:00,61261,Completado,Juan_88,M,Cordoba
9350,2020-01-18 00:07:00,44787,Completado,Juan_88,M,Cordoba
9350,2020-01-30 00:07:00,89999,Completado,Juan_88,M,Cordoba
9350,2020-01-29 00:08:00,92807,Completado,Juan_88,M,Cordoba
9350,2020-01-23 00:10:00,27988,Completado,Juan_88,M,Cordoba
9350,2020-01-11 00:11:00,84796,Completado,Juan_88,M,Cordoba
10188,2020-01-02 00:01:00,55704,Completado,Romina_297,F,Buenos Aires
10188,2020-01-19 00:06:00,37561,Completado,Romina_297,F,Buenos Aires
10188,2020-01-13 00:07:00,8570,Completado,Romina_297,F,Buenos Aires
10188,2020-01-17 00:09:00,65408,Completado,Romina_297,F,Buenos Aires
10188,2020-01-18 00:10:00,14153,Completado,Romina_297,F,Buenos Aires
10321,2020-01-02 00:01:00,58613,Completado,Ana_331,F,Capital Federal
